EMPRESA,ORIGEM,DESTINO,ANO,MES,TARIFA_MEDIA,ASSENTOS,PASS_PAGOS,ROTA
TAM,NVT,NVT,2024,6,568.32,133,52,NVT-NVT
GLO,CGB,GIG,2022,4,322.52,111,134,CGB-GIG
TAM,SDU,CGB,2022,8,616.94,171,132,SDU-CGB
TAM,CGB,CWB,2024,10,462.0,111,60,CGB-CWB
AZU,MCP,PMW,2024,12,573.23,162,70,MCP-PMW
TAM,NAT,GIG,2023,5,915.45,190,136,NAT-GIG
GLO,PVH,PMW,2024,5,1206.71,109,67,PVH-PMW
GLO,CNF,MCZ,2022,10,434.64,120,155,CNF-MCZ
TAM,POA,THE,2023,3,410.66,172,132,POA-THE
TAM,CGH,VCP,2023,2,2118.7,145,141,CGH-VCP
TAM,PVH,THE,2022,5,590.68,159,108,PVH-THE
TAM,GYN,SLZ,2023,1,348.99,107,54,GYN-SLZ
AZU,FLN,THE,2023,3,244.72,116,108,FLN-THE
TAM,REC,CGB,2022,6,639.58,104,134,REC-CGB
AZU,PMW,POA,2022,7,263.46,149,127,PMW-POA
TAM,GIG,CNF,2022,7,809.44,129,79,GIG-CNF
AZU,GRU,CWB,2022,12,255.84,109,169,GRU-CWB
AZU,GYN,CGB,2023,8,209.73,182,123,GYN-CGB
TAM,GYN,GRU,2023,12,724.84,152,134,GYN-GRU
GLO,BEL,THE,2024,5,498.28,196,127,BEL-THE
AZU,PMW,BVB,2024,2,475.59,189,57,PMW-BVB
TAM,BSB,REC,2022,6,236.37,138,129,BSB-REC
AZU,CWB,MAO,2022,9,255.32,163,59,CWB-MAO
GLO,THE,BVB,2024,9,249.05,160,77,THE-BVB
AZU,BEL,CGB,2023,12,1612.27,178,69,BEL-CGB
GLO,RBR,BVB,2022,11,380.05,106,185,RBR-BVB
TAM,FOR,FOR,2023,11,702.24,181,66,FOR-FOR
TAM,MAO,BVB,2024,4,504.94,130,56,MAO-BVB
GLO,SLZ,CGH,2022,9,582.43,134,163,SLZ-CGH
AZU,MCP,BSB,2022,8,392.08,187,143,MCP-BSB
GLO,CWB,THE,2024,7,246.09,199,145,CWB-THE
TAM,THE,BSB,2024,3,574.55,140,97,THE-BSB
GLO,GRU,SLZ,2022,3,333.76,138,137,GRU-SLZ
GLO,MCZ,CGR,2022,5,901.2,160,101,MCZ-CGR
TAM,CGR,THE,2022,8,717.95,153,104,CGR-THE
AZU,FLN,GIG,2023,9,747.7,114,70,FLN-GIG
TAM,SLZ,MCZ,2024,11,398.11,166,52,SLZ-MCZ
VBL,BVB,RBR,2023,2,777.06,149,168,BVB-RBR
TAM,SDU,CGR,2023,3,189.53,185,91,SDU-CGR
TAM,MCP,SSA,2023,8,506.39,178,54,MCP-SSA
GLO,MCZ,POA,2022,6,247.27,157,125,MCZ-POA
GLO,GIG,SDU,2023,4,460.3,153,173,GIG-SDU
AZU,MAO,FLN,2022,8,632.6,108,79,MAO-FLN
GLO,CNF,AJU,2023,2,878.63,150,101,CNF-AJU
TAM,SDU,MCZ,2023,9,1043.93,182,159,SDU-MCZ
GLO,CGH,NVT,2024,7,266.6,146,78,CGH-NVT
GLO,GIG,PVH,2022,5,241.55,107,141,GIG-PVH
TAM,THE,CGH,2024,12,723.21,142,62,THE-CGH
GLO,THE,CWB,2022,6,358.14,105,88,THE-CWB
TAM,VCP,CWB,2022,10,398.33,152,124,VCP-CWB
AZU,CGB,CWB,2022,2,628.18,160,121,CGB-CWB
TAM,SSA,CGH,2024,4,461.55,150,173,SSA-CGH
GLO,RBR,BEL,2024,11,730.37,144,142,RBR-BEL
GLO,CWB,VCP,2022,11,768.47,189,167,CWB-VCP
VBL,POA,CGH,2022,5,328.28,141,58,POA-CGH
GLO,MCZ,CGH,2023,8,577.91,137,164,MCZ-CGH
GLO,VCP,GYN,2024,7,148.02,134,83,VCP-GYN
TAM,CWB,MAO,2024,11,257.12,169,123,CWB-MAO
AZU,CGH,CWB,2024,7,340.89,106,52,CGH-CWB
TAM,SDU,PMW,2022,7,255.0,100,152,SDU-PMW
AZU,CNF,CGH,2023,11,376.06,117,52,CNF-CGH
TAM,NAT,CGH,2022,4,653.48,125,91,NAT-CGH
TAM,POA,POA,2022,3,508.81,186,143,POA-POA
PAM,BSB,THE,2022,5,868.75,150,94,BSB-THE
AZU,MAO,MCP,2022,12,712.76,199,94,MAO-MCP
PAM,CNF,BSB,2022,1,358.91,175,151,CNF-BSB
AZU,THE,FOR,2023,7,868.5,133,117,THE-FOR
TAM,FOR,GYN,2023,6,260.22,181,98,FOR-GYN
TAM,PVH,FLN,2022,10,760.99,175,177,PVH-FLN
TAM,FOR,THE,2023,2,555.32,165,117,FOR-THE
GLO,SLZ,PMW,2022,4,550.25,109,170,SLZ-PMW
TAM,POA,SLZ,2022,8,286.2,165,82,POA-SLZ
AZU,VCP,REC,2022,2,508.71,106,64,VCP-REC
AZU,PMW,GRU,2023,5,1180.71,161,116,PMW-GRU
VBL,POA,CGH,2024,11,657.89,185,55,POA-CGH
TAM,NAT,POA,2024,1,443.86,130,86,NAT-POA
TAM,NAT,FLN,2022,10,264.39,182,67,NAT-FLN
PAM,PVH,GRU,2024,6,1001.39,150,99,PVH-GRU
AZU,AJU,VCP,2022,6,627.13,174,181,AJU-VCP
TAM,NAT,JPA,2022,9,986.43,139,109,NAT-JPA
AZU,JPA,CNF,2024,5,852.94,171,186,JPA-CNF
TAM,CGH,BVB,2023,5,198.13,121,124,CGH-BVB
TAM,CNF,MCP,2022,12,685.28,103,111,CNF-MCP
GLO,RBR,MAO,2022,5,788.0,141,99,RBR-MAO
GLO,FOR,PVH,2023,1,342.35,146,158,FOR-PVH
GLO,SDU,THE,2023,4,483.23,155,177,SDU-THE
GLO,NVT,THE,2023,10,571.88,176,60,NVT-THE
TAM,RBR,BEL,2024,10,870.13,135,90,RBR-BEL
TAM,CGB,POA,2022,5,456.64,154,118,CGB-POA
TAM,VCP,THE,2023,6,676.59,135,188,VCP-THE
GLO,MAO,MCZ,2024,10,999.84,135,145,MAO-MCZ
GLO,MCZ,CGB,2023,7,1067.98,173,134,MCZ-CGB
GLO,JPA,CGH,2023,2,299.95,154,128,JPA-CGH
AZU,MAO,SDU,2024,8,225.38,166,156,MAO-SDU
GLO,NVT,NAT,2024,5,688.7,102,178,NVT-NAT
AZU,NVT,BSB,2022,8,432.33,195,170,NVT-BSB
VBL,PMW,BEL,2024,10,151.88,187,96,PMW-BEL
GLO,CGH,BEL,2024,6,819.3,137,187,CGH-BEL
GLO,THE,JPA,2023,3,344.74,167,172,THE-JPA
GLO,NAT,MAO,2023,9,740.05,101,110,NAT-MAO
GLO,FOR,GYN,2022,11,587.15,133,147,FOR-GYN
AZU,MCZ,BEL,2024,5,423.07,191,105,MCZ-BEL
TAM,RBR,GYN,2024,7,411.72,182,74,RBR-GYN
TAM,VCP,SSA,2024,5,469.47,115,76,VCP-SSA
GLO,SLZ,THE,2022,6,864.78,196,114,SLZ-THE
AZU,NAT,CWB,2023,8,441.79,169,69,NAT-CWB
GLO,REC,FOR,2022,4,693.21,112,109,REC-FOR
GLO,CWB,GRU,2024,12,411.58,135,167,CWB-GRU
AZU,JPA,GIG,2022,6,461.77,164,159,JPA-GIG
GLO,JPA,PMW,2022,12,496.84,172,115,JPA-PMW
GLO,PVH,BEL,2022,2,296.18,119,56,PVH-BEL
TAM,AJU,GYN,2024,12,661.84,148,71,AJU-GYN
PAM,AJU,PVH,2023,12,529.11,152,105,AJU-PVH
AZU,BEL,BSB,2024,11,313.09,148,125,BEL-BSB
GLO,GRU,VCP,2024,11,599.88,112,50,GRU-VCP
GLO,PMW,FLN,2024,8,853.04,131,77,PMW-FLN
AZU,SSA,SSA,2024,5,574.34,146,117,SSA-SSA
AZU,CGB,GRU,2023,9,284.17,141,73,CGB-GRU
GLO,MCP,BSB,2024,2,484.74,128,141,MCP-BSB
GLO,FLN,SLZ,2024,11,712.37,125,129,FLN-SLZ
GLO,SSA,NVT,2024,7,381.51,180,104,SSA-NVT
TAM,VCP,SLZ,2022,8,245.45,143,61,VCP-SLZ
AZU,MCP,VCP,2022,6,944.14,143,111,MCP-VCP
TAM,MCP,SSA,2022,1,416.46,117,136,MCP-SSA
AZU,RBR,CGB,2024,7,360.98,196,59,RBR-CGB
GLO,BEL,FLN,2024,4,300.37,110,109,BEL-FLN
GLO,MAO,CNF,2022,10,432.27,166,135,MAO-CNF
GLO,BEL,MAO,2023,9,348.44,130,188,BEL-MAO
GLO,REC,VCP,2024,12,685.07,122,104,REC-VCP
TAM,REC,AJU,2024,9,392.97,188,156,REC-AJU
GLO,CGR,GRU,2024,6,373.0,138,177,CGR-GRU
TAM,POA,THE,2022,2,473.43,130,56,POA-THE
TAM,FLN,NVT,2023,1,254.64,181,70,FLN-NVT
TAM,NVT,AJU,2022,10,153.43,161,80,NVT-AJU
AZU,RBR,CGH,2022,7,790.43,154,90,RBR-CGH
TAM,SSA,MAO,2024,1,464.61,154,157,SSA-MAO
GLO,SSA,NAT,2023,2,290.04,114,80,SSA-NAT
PAM,RBR,PVH,2022,1,296.74,182,127,RBR-PVH
TAM,RBR,SDU,2023,7,332.13,165,140,RBR-SDU
TAM,GIG,FOR,2023,4,332.87,105,105,GIG-FOR
TAM,SSA,FOR,2023,5,1290.91,112,150,SSA-FOR
PAM,MCP,BSB,2024,5,1224.77,157,53,MCP-BSB
AZU,CGB,BEL,2024,6,747.88,187,168,CGB-BEL
PAM,MAO,RBR,2024,5,532.65,196,51,MAO-RBR
GLO,MAO,CWB,2023,1,900.51,161,63,MAO-CWB
TAM,SLZ,VCP,2024,7,284.78,120,98,SLZ-VCP
AZU,POA,THE,2022,12,379.27,136,82,POA-THE
GLO,VCP,NVT,2023,10,229.43,174,94,VCP-NVT
TAM,CWB,SDU,2024,9,928.97,126,56,CWB-SDU
TAM,MCP,BEL,2023,7,405.43,117,185,MCP-BEL
AZU,REC,CGR,2024,5,368.2,177,96,REC-CGR
GLO,CWB,CWB,2024,6,623.25,110,164,CWB-CWB
TAM,REC,SDU,2024,7,578.4,151,75,REC-SDU
AZU,CGH,GYN,2023,12,934.59,146,159,CGH-GYN
GLO,VCP,NVT,2022,12,644.64,132,115,VCP-NVT
GLO,THE,CWB,2022,5,177.26,108,69,THE-CWB
AZU,GRU,SSA,2023,7,898.3,186,97,GRU-SSA
TAM,VCP,PVH,2023,9,680.0,148,146,VCP-PVH
PAM,THE,CWB,2022,12,207.07,137,93,THE-CWB
AZU,BEL,FOR,2022,3,377.3,166,104,BEL-FOR
TAM,MAO,CGB,2023,12,704.88,111,144,MAO-CGB
TAM,MAO,BVB,2022,1,375.55,113,72,MAO-BVB
GLO,PMW,NAT,2022,7,432.87,102,55,PMW-NAT
TAM,AJU,CGR,2024,11,313.87,104,59,AJU-CGR
AZU,NVT,GYN,2022,2,875.99,159,94,NVT-GYN
GLO,GRU,RBR,2024,2,241.61,162,121,GRU-RBR
GLO,MCP,SSA,2023,8,591.83,112,75,MCP-SSA
VBL,FLN,CGR,2024,5,596.51,121,138,FLN-CGR
PAM,VCP,VCP,2024,11,324.49,101,134,VCP-VCP
AZU,CGR,SLZ,2023,12,593.45,130,99,CGR-SLZ
AZU,SLZ,CGR,2022,1,169.89,144,62,SLZ-CGR
AZU,VCP,BVB,2023,10,1228.41,154,84,VCP-BVB
GLO,VCP,JPA,2024,10,293.22,146,189,VCP-JPA
PAM,CNF,FLN,2023,4,684.28,119,155,CNF-FLN
TAM,RBR,AJU,2022,6,243.87,103,152,RBR-AJU
GLO,MAO,MAO,2023,5,145.27,112,167,MAO-MAO
GLO,SSA,BSB,2024,8,706.88,144,154,SSA-BSB
GLO,RBR,CGH,2023,8,467.51,133,56,RBR-CGH
GLO,FLN,BSB,2024,5,663.51,124,89,FLN-BSB
GLO,PMW,FLN,2024,2,151.71,194,174,PMW-FLN
AZU,BSB,PVH,2022,10,627.75,103,179,BSB-PVH
TAM,GRU,CGB,2024,10,1396.82,112,87,GRU-CGB
TAM,CNF,MCP,2023,9,334.75,118,58,CNF-MCP
GLO,BSB,SDU,2022,11,228.19,100,118,BSB-SDU
PAM,BSB,AJU,2023,11,843.19,135,81,BSB-AJU
GLO,BVB,AJU,2023,1,763.65,173,60,BVB-AJU
GLO,MCP,PVH,2023,6,325.5,184,89,MCP-PVH
AZU,AJU,CGR,2022,7,530.18,150,50,AJU-CGR
TAM,NVT,CNF,2023,4,395.92,122,121,NVT-CNF
GLO,SDU,RBR,2024,1,326.73,134,109,SDU-RBR
TAM,SSA,BSB,2022,8,1233.67,194,163,SSA-BSB
TAM,CWB,CGR,2024,3,603.4,122,176,CWB-CGR
AZU,SLZ,VCP,2023,8,409.45,164,79,SLZ-VCP
TAM,JPA,CGH,2022,3,622.77,162,183,JPA-CGH
TAM,POA,JPA,2024,5,577.76,157,148,POA-JPA
TAM,MAO,SLZ,2022,9,477.89,166,135,MAO-SLZ
AZU,GYN,VCP,2022,1,589.49,111,81,GYN-VCP
GLO,GRU,SLZ,2022,3,1475.48,117,60,GRU-SLZ
GLO,CGR,MCZ,2022,4,880.3,150,112,CGR-MCZ
GLO,VCP,GIG,2022,7,786.06,120,117,VCP-GIG
GLO,PMW,PMW,2022,1,329.42,122,55,PMW-PMW
GLO,SLZ,CGR,2023,7,1786.17,137,131,SLZ-CGR
TAM,RBR,PMW,2024,12,808.59,186,81,RBR-PMW
GLO,REC,SLZ,2023,11,666.64,191,182,REC-SLZ
GLO,FLN,GRU,2023,6,429.73,164,84,FLN-GRU
GLO,JPA,THE,2022,1,320.62,168,73,JPA-THE
TAM,FLN,MCP,2023,5,343.27,113,140,FLN-MCP
AZU,CNF,PMW,2023,2,642.99,147,176,CNF-PMW
GLO,SLZ,FOR,2024,9,260.12,161,134,SLZ-FOR
TAM,REC,REC,2022,10,327.44,185,189,REC-REC
GLO,SLZ,MCP,2022,7,889.08,172,121,SLZ-MCP
GLO,GRU,NAT,2023,9,667.24,140,129,GRU-NAT
TAM,GYN,GRU,2024,11,362.7,151,156,GYN-GRU
VBL,MCP,REC,2023,8,535.13,111,135,MCP-REC
GLO,AJU,FLN,2023,2,320.0,154,56,AJU-FLN
VBL,MAO,BVB,2022,7,1524.6,184,184,MAO-BVB
GLO,GYN,BEL,2022,6,305.34,145,53,GYN-BEL
GLO,MAO,CGH,2022,11,255.89,187,109,MAO-CGH
TAM,FOR,CWB,2023,1,679.27,143,110,FOR-CWB
GLO,CGH,CNF,2024,4,513.22,137,74,CGH-CNF
TAM,GRU,CNF,2023,10,875.25,182,168,GRU-CNF
GLO,SDU,BEL,2024,5,983.31,128,99,SDU-BEL
AZU,THE,MCZ,2022,12,858.17,185,144,THE-MCZ
TAM,CGH,JPA,2023,10,409.57,197,167,CGH-JPA
AZU,VCP,PVH,2024,10,843.31,191,74,VCP-PVH
GLO,PMW,SSA,2024,12,352.12,165,126,PMW-SSA
VBL,CGB,FLN,2023,6,246.32,103,138,CGB-FLN
AZU,NAT,BSB,2022,5,347.68,168,164,NAT-BSB
GLO,BVB,PVH,2023,2,1029.83,173,111,BVB-PVH
TAM,CNF,NVT,2023,5,1182.86,149,129,CNF-NVT
AZU,PMW,MAO,2022,6,326.47,177,148,PMW-MAO
TAM,PMW,BVB,2024,3,715.05,174,69,PMW-BVB
GLO,CGR,BSB,2022,5,221.64,102,156,CGR-BSB
VBL,CGR,GIG,2024,11,147.73,143,59,CGR-GIG
AZU,REC,PMW,2023,3,563.68,177,153,REC-PMW
TAM,NVT,MCZ,2023,1,438.31,133,97,NVT-MCZ
GLO,POA,MCZ,2023,4,406.61,111,117,POA-MCZ
AZU,MCZ,GYN,2022,7,636.14,153,64,MCZ-GYN
TAM,CWB,SLZ,2023,6,513.15,199,140,CWB-SLZ
GLO,CNF,MCZ,2024,6,848.1,116,165,CNF-MCZ
VBL,BEL,FOR,2022,6,545.75,189,165,BEL-FOR
TAM,VCP,RBR,2023,8,416.96,122,114,VCP-RBR
GLO,NAT,CNF,2024,11,599.94,196,109,NAT-CNF
TAM,BSB,CGB,2023,9,360.02,120,139,BSB-CGB
GLO,MCP,GIG,2023,7,303.92,195,77,MCP-GIG
AZU,CGH,CGH,2024,5,836.7,105,72,CGH-CGH
AZU,GRU,MCZ,2024,9,385.79,102,103,GRU-MCZ
TAM,VCP,SDU,2023,9,980.69,172,175,VCP-SDU
TAM,FOR,CGR,2022,5,807.68,104,134,FOR-CGR
TAM,MCZ,SSA,2022,8,429.72,157,74,MCZ-SSA
AZU,GIG,CGB,2024,5,661.5,192,120,GIG-CGB
GLO,CGB,CGB,2024,2,408.86,144,83,CGB-CGB
TAM,CNF,CGB,2022,3,1149.06,163,155,CNF-CGB
GLO,VCP,NVT,2022,8,219.82,101,131,VCP-NVT
GLO,BVB,CGB,2022,2,823.69,196,65,BVB-CGB
GLO,PVH,BVB,2023,6,213.46,132,118,PVH-BVB
TAM,GRU,FLN,2024,11,240.94,192,77,GRU-FLN
GLO,MCZ,NAT,2022,8,523.61,113,139,MCZ-NAT
TAM,CNF,CWB,2022,12,284.75,161,164,CNF-CWB
GLO,MCZ,GRU,2023,8,581.3,167,139,MCZ-GRU
TAM,PMW,RBR,2024,3,585.13,118,122,PMW-RBR
TAM,BVB,VCP,2024,7,432.49,152,138,BVB-VCP
GLO,CNF,REC,2022,2,742.83,165,95,CNF-REC
GLO,GYN,RBR,2022,12,498.16,177,186,GYN-RBR
GLO,FOR,SDU,2022,5,507.26,199,100,FOR-SDU
AZU,GYN,GRU,2024,11,515.35,104,118,GYN-GRU
TAM,CGB,CGR,2024,4,696.81,151,174,CGB-CGR
AZU,REC,SLZ,2023,12,521.47,193,110,REC-SLZ
AZU,JPA,SSA,2023,1,1632.24,183,179,JPA-SSA
TAM,FOR,GIG,2024,7,521.87,159,68,FOR-GIG
AZU,SDU,MAO,2023,1,548.09,153,81,SDU-MAO
AZU,CNF,AJU,2022,6,923.03,199,125,CNF-AJU
AZU,BVB,BVB,2022,6,1421.98,114,50,BVB-BVB
GLO,REC,BVB,2023,9,788.58,143,159,REC-BVB
GLO,PVH,POA,2024,11,224.7,110,151,PVH-POA
AZU,CWB,CGB,2023,9,873.32,153,156,CWB-CGB
GLO,JPA,SSA,2024,10,583.86,163,165,JPA-SSA
GLO,MCZ,NVT,2023,7,304.36,198,155,MCZ-NVT
GLO,BSB,BSB,2023,12,728.54,190,103,BSB-BSB
GLO,GRU,AJU,2024,9,222.06,193,115,GRU-AJU
TAM,CGH,GRU,2024,6,293.52,156,97,CGH-GRU
GLO,MCZ,PMW,2024,8,1036.55,172,66,MCZ-PMW
TAM,AJU,NAT,2023,3,534.62,194,168,AJU-NAT
GLO,PVH,MCZ,2024,8,755.05,124,100,PVH-MCZ
GLO,RBR,SDU,2022,6,361.55,123,57,RBR-SDU
GLO,BEL,BVB,2022,6,355.39,103,188,BEL-BVB
TAM,VCP,POA,2022,10,301.5,165,93,VCP-POA
TAM,MCP,JPA,2024,1,639.94,110,121,MCP-JPA
GLO,BVB,MCZ,2022,8,248.39,199,149,BVB-MCZ
TAM,SLZ,JPA,2023,4,285.43,183,132,SLZ-JPA
GLO,SSA,SDU,2023,3,197.05,182,51,SSA-SDU
TAM,GRU,GYN,2022,9,213.02,149,149,GRU-GYN
TAM,NVT,SDU,2024,7,370.35,188,112,NVT-SDU
AZU,MCZ,FLN,2022,7,525.66,130,181,MCZ-FLN
GLO,SLZ,RBR,2022,2,254.65,182,159,SLZ-RBR
GLO,MCZ,POA,2023,11,259.9,126,146,MCZ-POA
TAM,CGH,MAO,2022,4,165.97,174,81,CGH-MAO
TAM,SSA,CGH,2024,12,369.19,197,75,SSA-CGH
AZU,MAO,NVT,2024,6,722.27,148,171,MAO-NVT
AZU,RBR,CGR,2024,10,1356.94,114,120,RBR-CGR
TAM,RBR,RBR,2024,4,289.03,102,57,RBR-RBR
AZU,FOR,POA,2024,3,219.74,158,117,FOR-POA
AZU,GYN,MAO,2024,9,320.28,119,160,GYN-MAO
AZU,POA,GRU,2022,2,1051.4,166,160,POA-GRU
VBL,PMW,SDU,2024,7,657.21,166,123,PMW-SDU
VBL,JPA,GYN,2022,1,995.03,103,152,JPA-GYN
TAM,PVH,VCP,2022,4,744.31,166,84,PVH-VCP
TAM,SDU,SDU,2024,7,768.82,122,77,SDU-SDU
GLO,POA,SLZ,2024,9,849.38,196,130,POA-SLZ
PAM,MAO,BSB,2022,5,350.56,186,142,MAO-BSB
AZU,MCZ,NVT,2023,8,297.63,116,77,MCZ-NVT
AZU,CWB,GIG,2023,5,239.35,166,180,CWB-GIG
AZU,SLZ,FLN,2024,4,825.48,156,135,SLZ-FLN
AZU,MCP,THE,2022,6,508.81,190,143,MCP-THE
GLO,NVT,POA,2023,2,417.68,133,55,NVT-POA
TAM,MCZ,MAO,2023,6,245.65,180,189,MCZ-MAO
AZU,SLZ,SSA,2023,5,194.44,198,142,SLZ-SSA
AZU,CGR,RBR,2023,10,1822.28,189,113,CGR-RBR
GLO,CWB,THE,2023,6,416.96,128,68,CWB-THE
PAM,GIG,CWB,2024,3,347.03,154,157,GIG-CWB
AZU,BSB,GRU,2022,12,1086.52,187,156,BSB-GRU
GLO,BVB,VCP,2024,12,444.97,127,71,BVB-VCP
TAM,THE,THE,2023,6,174.68,117,68,THE-THE
TAM,THE,GYN,2023,3,389.37,188,95,THE-GYN
AZU,BEL,SDU,2024,11,586.86,179,70,BEL-SDU
AZU,FOR,MAO,2023,8,496.32,180,120,FOR-MAO
VBL,CNF,CGB,2023,6,298.58,170,131,CNF-CGB
TAM,THE,REC,2024,8,304.63,150,184,THE-REC
AZU,RBR,FLN,2024,11,719.76,118,58,RBR-FLN
GLO,BEL,VCP,2022,8,647.43,113,63,BEL-VCP
AZU,GRU,SDU,2023,6,334.6,162,100,GRU-SDU
TAM,CNF,FOR,2023,5,471.34,117,55,CNF-FOR
TAM,PVH,GYN,2024,4,496.24,109,156,PVH-GYN
PAM,CNF,SLZ,2023,9,448.47,139,137,CNF-SLZ
AZU,CWB,GIG,2023,5,687.48,106,130,CWB-GIG
GLO,JPA,BVB,2022,2,681.85,163,62,JPA-BVB
TAM,CWB,FLN,2023,5,316.29,140,185,CWB-FLN
GLO,BEL,NVT,2024,2,749.9,154,163,BEL-NVT
GLO,CGH,SLZ,2023,4,854.12,150,101,CGH-SLZ
TAM,REC,CWB,2024,11,438.89,199,155,REC-CWB
VBL,MAO,BEL,2022,4,298.91,174,126,MAO-BEL
TAM,JPA,FOR,2024,12,454.07,129,189,JPA-FOR
GLO,REC,GRU,2024,9,406.71,188,65,REC-GRU
GLO,GRU,GIG,2024,10,460.72,106,159,GRU-GIG
GLO,BSB,POA,2024,5,574.36,117,74,BSB-POA
TAM,GIG,NAT,2023,7,267.22,117,58,GIG-NAT
GLO,GIG,CNF,2022,4,199.76,188,92,GIG-CNF
AZU,JPA,BVB,2023,12,987.09,145,161,JPA-BVB
AZU,MCP,MCP,2022,3,326.75,197,130,MCP-MCP
GLO,PMW,MAO,2022,2,267.96,124,178,PMW-MAO
AZU,PVH,SDU,2023,8,316.04,100,124,PVH-SDU
TAM,BVB,MAO,2023,3,2546.37,170,57,BVB-MAO
AZU,THE,BVB,2023,4,684.48,105,108,THE-BVB
VBL,SSA,REC,2024,7,139.72,142,86,SSA-REC
GLO,SSA,CWB,2022,5,458.09,188,104,SSA-CWB
GLO,CNF,MAO,2024,1,480.9,187,123,CNF-MAO
TAM,SSA,THE,2023,8,730.46,129,170,SSA-THE
AZU,THE,RBR,2024,11,335.86,189,64,THE-RBR
TAM,MCZ,BVB,2023,3,343.98,129,75,MCZ-BVB
GLO,GYN,CWB,2022,8,228.78,136,178,GYN-CWB
GLO,CGR,JPA,2024,11,435.64,156,106,CGR-JPA
TAM,BSB,CGB,2022,12,380.04,198,139,BSB-CGB
TAM,GRU,FOR,2022,2,545.44,102,50,GRU-FOR
GLO,JPA,SLZ,2023,11,456.72,136,153,JPA-SLZ
PAM,REC,BVB,2023,4,188.07,190,173,REC-BVB
GLO,NAT,SSA,2022,8,461.65,144,165,NAT-SSA
AZU,GRU,FLN,2024,3,233.26,168,140,GRU-FLN
GLO,AJU,PMW,2023,4,265.93,145,125,AJU-PMW
TAM,BEL,RBR,2022,5,454.82,131,111,BEL-RBR
AZU,AJU,GIG,2023,9,292.41,118,176,AJU-GIG
GLO,FOR,MAO,2024,7,265.15,150,165,FOR-MAO
PAM,SSA,GYN,2023,2,1337.41,182,109,SSA-GYN
TAM,NVT,NAT,2022,11,349.4,110,103,NVT-NAT
GLO,BSB,GIG,2022,7,269.39,104,69,BSB-GIG
GLO,VCP,MAO,2023,2,659.41,198,57,VCP-MAO
TAM,JPA,MAO,2022,10,1255.48,129,68,JPA-MAO
VBL,POA,CGH,2024,4,803.43,159,179,POA-CGH
AZU,RBR,JPA,2022,2,143.35,156,73,RBR-JPA
AZU,SSA,REC,2022,7,920.21,134,171,SSA-REC
AZU,CGH,BVB,2022,5,415.62,165,51,CGH-BVB
TAM,MCP,GYN,2024,12,735.63,115,93,MCP-GYN
AZU,MCP,MCZ,2023,5,436.0,159,185,MCP-MCZ
GLO,AJU,POA,2024,5,286.12,192,117,AJU-POA
GLO,RBR,JPA,2022,11,373.47,121,183,RBR-JPA
TAM,MCP,MAO,2022,7,356.83,106,133,MCP-MAO
TAM,PVH,CGH,2023,3,418.85,119,141,PVH-CGH
TAM,BVB,GIG,2023,11,405.47,157,171,BVB-GIG
PAM,BVB,AJU,2023,10,865.36,128,129,BVB-AJU
GLO,CNF,AJU,2024,7,578.75,190,63,CNF-AJU
GLO,SLZ,AJU,2023,6,590.94,179,111,SLZ-AJU
AZU,CGR,BEL,2023,7,359.81,158,98,CGR-BEL
GLO,VCP,REC,2023,10,419.82,180,159,VCP-REC
AZU,BVB,BEL,2023,9,369.55,151,162,BVB-BEL
AZU,CGB,POA,2024,11,413.8,100,179,CGB-POA
AZU,THE,GYN,2022,11,872.15,150,104,THE-GYN
GLO,MAO,BEL,2024,4,256.55,178,119,MAO-BEL
GLO,THE,CGB,2023,1,328.29,187,104,THE-CGB
TAM,MCP,NAT,2024,11,231.21,125,142,MCP-NAT
AZU,JPA,AJU,2023,12,749.98,191,98,JPA-AJU
AZU,POA,BEL,2023,5,1167.11,139,101,POA-BEL
AZU,SSA,BEL,2024,1,384.98,111,144,SSA-BEL
GLO,MCP,SLZ,2024,2,1296.8,158,169,MCP-SLZ
GLO,THE,BEL,2022,8,954.13,108,81,THE-BEL
GLO,MCZ,MCZ,2024,5,428.01,156,136,MCZ-MCZ
GLO,PMW,PMW,2023,6,404.61,141,94,PMW-PMW
TAM,SLZ,CGB,2022,1,849.45,193,121,SLZ-CGB
TAM,GRU,REC,2024,6,567.8,199,59,GRU-REC
GLO,GRU,JPA,2022,6,653.97,123,82,GRU-JPA
GLO,NAT,FOR,2022,11,829.56,116,160,NAT-FOR
GLO,CGH,REC,2022,6,691.48,178,56,CGH-REC
TAM,JPA,CGH,2023,8,403.2,135,165,JPA-CGH
TAM,REC,GIG,2024,11,461.4,147,143,REC-GIG
TAM,RBR,SDU,2023,10,579.15,170,159,RBR-SDU
TAM,CNF,CGB,2023,12,495.61,182,153,CNF-CGB
AZU,NAT,SLZ,2023,10,263.11,147,53,NAT-SLZ
GLO,CGR,CGB,2022,7,204.27,187,116,CGR-CGB
VBL,GYN,PMW,2022,3,703.64,149,107,GYN-PMW
AZU,BEL,FLN,2023,10,946.91,168,157,BEL-FLN
TAM,FLN,REC,2024,10,1030.25,111,50,FLN-REC
TAM,BSB,MCZ,2022,4,286.87,161,181,BSB-MCZ
TAM,POA,BSB,2023,1,650.24,126,111,POA-BSB
AZU,SLZ,NVT,2024,9,223.15,121,53,SLZ-NVT
